,address,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and_last (Mins),Sent_tnx,Received_tnx,NumberofCreated_Contracts,UniqueReceivedFrom_Addresses,UniqueSentTo_Addresses20,MinValueReceived,MaxValueReceived,AvgValueReceived5Average,MinValSent,MaxValSent,AvgValSent,MinValueSentToContract,MaxValueSentToContract,AvgValueSentToContract,TotalTransactions(IncludingTnxtoCreate_Contract),TotalEtherSent,TotalEtherReceived,TotalEtherSent_Contracts,TotalEtherBalance,TotalERC20Tnxs:,ERC20TotalEther_Received:,ERC20TotalEther_Sent:,ERC20TotalEtherSentContract:,ERC20UniqSent_Addr:,ERC20UniqRec_Addr:,ERC20UniqRecContractAddr:,ERC20AvgTimeBetweenSent_Tnx,ERC20AvgTimeBetweenRec_Tnx,ERC20AvgTimeBetweenContract_Tnx,ERC20MinVal_Rec,ERC20MaxVal_Rec,ERC20AvgVal_Rec,ERC20MinVal_Sent,ERC20MaxVal_Sent,ERC20AvgVal_Sent,ERC20UniqSentTokenName,ERC20UniqRecTokenName,ERC20MostSentTokenType,ERC20MostRecTokenType,FLAG
0,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,0.0,3287.708857,31664442,0,9632,1,2033,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0,48,1624147753951456392159898,0,3200582512003,0,37,3,0.0,2247819.295,4576563.0,0.0,5e+23,3.69e+22,0.0,0,0.0,0,19,0,Akropolis,0
1,0x1c74cff0376fb4031cd7492cd6db2d66c3f2c6b9,0.0,30856.84765,131489280,0,4261,1,3652,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4846,0.0,0.0,0.0,0,1,5E+16,0,0,0,1,0,0.0,0.0,0.0,5e+16,5e+16,0.0,0.0,0,0.0,0,1,0,Wrapped Ether,0
2,0x06af07097c9eeb7fd685c692751d5c66db49c215,0.0,21756.22105,93009370,0,4276,1,1386,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4466,0.0,0.0,0.0,0,1000,250356191777770241947859,2012174199556976444377529,1763818007779206202429670,1,130,12,4690.25502,10713.14815,7605.773852,0.0,4e+22,1.16e+21,0.0,202651788858138416902420,4.04e+21,1,2,Dai Stablecoin,Dai Stablecoin,0
3,0xc00e94cb662c3520282e6f5717214004a7f26888,0.0,952.4601227,9562025,0,9781,1,4302,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0,114,2646219848935635501341,0,19510000004100000401,0,85,5,0.0,759210.3269,7978257.125,0.0,1.211e+21,2.54e+19,0.0,0,0.0,0,18,0,Compound,0
4,0xb3319f5d18bc0d84dd1b4825dcde5d5f7266d407,0.0,3644.096995,36142462,0,9919,1,3389,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0,1000,4011316252893124092128943,805324484693942838881506,18118926255770702992831,238,223,15,9498.743952,10078.06681,78246.97297,0.0,5.74288692321894e+23,8.65e+21,0.0,2.23225E+23,1.62e+21,2,2,Compound 0x,ZRX,0
5,0x158079ee67fce2f58472a96584a73c7ab9ac95c1,0.0,22111.51545,108059099,0,4888,1,1409,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5045,0.0,0.0,0.0,0,1000,147839963040434267347939,56817768907894416272059,14353463159156263041585,184,166,20,16196.87789,17176.65848,77795.60811,0.0,2.5e+22,3.3e+20,0.0,5E+21,1.2e+20,2,5,Reputation,Reputation,0
6,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,0.0,3579.066216,35458114,0,9908,1,3145,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0,1000,4121120894804807495139632,808864238225827936902840,22774351672480951266643,219,210,6,7172.740365,7201.95723,121598.9231,1.0,4.417382974979225e+23,8.39e+21,499.0,2.17E+23,1.64e+21,2,3,Compound Basic Attention Token,BAT,0
7,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0.0,514.066908,5400729,0,9671,1,2761,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0,1000,1292883478832079804257277,955536919060988239569419,160128332213490577304859,237,219,66,726.1837838,839.5358255,784.5653595,4999947122.0,2.54e+23,4.03e+21,105442681.0,2.54E+23,2.58e+21,2,2,Compound Dai,Dai Stablecoin,0
8,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0.0,994.2750809,9831527,0,9889,1,2326,0,0.0,2.4e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,338211884753557890939123,1000,42000000000041889050270099,344933980412134,1281024681656,357,145,8,3361.216179,8727.09434,103195.6,0.0,2.1e+25,1.58e+23,0.0,52481421829151,481079470589.0,1,3,Compound Ether,Compound Ether,0
9,0x39aa39c021dfbae8fac545936693ac917d5e7563,0.0,974.338339,9667518,0,9923,1,1872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0,1000,2.69389E+15,10269195642961287,23248082836461,206,180,5,4400.846293,5756.018913,81986.42857,0.0,408120761881302.0,6368538857428.0,0.0,1252039803162383,18569974037905.0,2,2,USD Coin,USD Coin,0
